Mes/A̱o,crecimiento IGAE,Curva de rendimientos,Manufacturero IMEF,I.C.C,Remesas,Desempleo
04/2024,0.3,0.39,49,47.7,5329.53,3.1
05/2024,-0.5,0.2693699224,48.7,46.7,5219.12,3.3
06/2024,0.6,0.5874507866,48,48.1,5905.29,3.5
07/2024,-0.1,0.3776792079,46.8,47,5126.00,3.3
08/2024,0.6,0.05299572649,48.5,47,5771.60,3.2
09/2024,-0.3,-0.2680163936,49.2,46.6,5305.07,3.2
10/2024,0.2,0.1430660523,47.1,48.9,5263.55,2.8
11/2024,-0.8,0.4959278057,48.6,47.4,5719.47,3.1
12/2024,0.3,0.1849894514,47.6,47.3,5073.19,3.0
01/2025,-0.9,0.1848084933,44.4,47.1,5383.16,3.1
02/2025,0.2,0.1113055385,47.8,46.5,5388.29,3.1
03/2025,1.0,0.0730330843,48.2,46.1,5315.96,2.9
04/2025,-0.4,-0.05,44.6,45.5,,3.1